,train_loss,train_dice_scores,val_loss,val_dice_scores
0,1.2705781440581045,"{0: 0.653102800910992, 1: 0.3135234265918693, 2: 0.07250038929463874, 3: 0.19326169423443534, 4: 0.8497360714020268}",1.182238444685936,"{0: 0.7522069476544857, 1: 0.4614729918539524, 2: 0.15639687236398458, 3: 0.41266055405139923, 4: 0.9459010250866413}"
1,1.1292160595616987,"{0: 0.7933884762948559, 1: 0.6186763836491492, 2: 0.4406702939060427, 3: 0.4767365200865653, 4: 0.969942553389457}",1.0868482440710068,"{0: 0.8677377849817276, 1: 0.7076552845537663, 2: 0.7256697528064251, 3: 0.6113037578761578, 4: 0.9845904596149921}"
2,1.0525271854092997,"{0: 0.8513323645437917, 1: 0.7553120265083928, 2: 0.7962185144424438, 3: 0.6274623842008652, 4: 0.985610835013851}",1.0279454961419106,"{0: 0.8783653452992439, 1: 0.7823506258428097, 2: 0.8496170043945312, 3: 0.6610575392842293, 4: 0.9883434064686298}"
3,1.003519659080813,"{0: 0.8850703422100313, 1: 0.8198671273646816, 2: 0.8971680152800775, 3: 0.6824527017531856, 4: 0.9897258579730988}",0.9899192526936531,"{0: 0.9400879181921482, 1: 0.8150284811854362, 2: 0.9031599164009094, 3: 0.6989059336483479, 4: 0.9923558756709099}"
4,0.9762577750990468,"{0: 0.9196482223849143, 1: 0.8523521269521406, 2: 0.9149690981834165, 3: 0.7098218375636686, 4: 0.9923463973306841}",0.9686273783445358,"{0: 0.9412636570632458, 1: 0.8744299709796906, 2: 0.9073901884257793, 3: 0.7236379571259022, 4: 0.9939831383526325}"
5,0.9597554581780587,"{0: 0.9267557032646672, 1: 0.8720596730709076, 2: 0.9209480497144884, 3: 0.7236750991113724, 4: 0.9931167642916402}",0.9558341726660728,"{0: 0.9239518530666828, 1: 0.8538374975323677, 2: 0.9120959229767323, 3: 0.7167290188372135, 4: 0.9927082285284996}"
6,0.9485749746522596,"{0: 0.9298244128304143, 1: 0.8860077098492654, 2: 0.9248899702102907, 3: 0.7366648152951272, 4: 0.993630112178864}",0.94833679869771,"{0: 0.9321657344698906, 1: 0.8683372400701046, 2: 0.9093582071363926, 3: 0.7012126371264458, 4: 0.9931721724569798}"
7,0.9419235404460661,"{0: 0.9376035073111134, 1: 0.893222963617694, 2: 0.9273494760836324, 3: 0.7399654657610001, 4: 0.9941365017044929}",0.9414832815527916,"{0: 0.9404819533228874, 1: 0.8877066932618618, 2: 0.9172571785748005, 3: 0.7395635358989239, 4: 0.9942624010145664}"
8,0.9367670964810156,"{0: 0.9378660407758528, 1: 0.8988921055870671, 2: 0.9310794290035002, 3: 0.7521963763621545, 4: 0.9943373107141064}",0.9380836300551891,"{0: 0.9275732263922691, 1: 0.8733795583248138, 2: 0.9186435043811798, 3: 0.7274830602109432, 4: 0.9933163560926914}"
9,0.9338099245102175,"{0: 0.9344106479998557, 1: 0.9031871086166751, 2: 0.9349764268244466, 3: 0.7549651495872005, 4: 0.9942306780046032}",0.9403133876621723,"{0: 0.8369450904428959, 1: 0.8939948603510857, 2: 0.9202442243695259, 3: 0.750138696283102, 4: 0.9891338646411896}"
