,train_loss,train_dice_scores,val_loss,val_dice_scores
0,1.4277057974569258,"{0: 0.5064974323876442, 1: 0.40156685777248874, 2: 0.127917684960149, 3: 0.012684928745241655, 4: 0.2668286052442366}",1.3174698576331139,"{0: 0.6370806097984314, 1: 0.5225139148533344, 2: 0.2082582926377654, 3: 0.03377974173054099, 4: 0.7806465588510036}"
1,1.2502327330650822,"{0: 0.7114809684215053, 1: 0.6324239613548401, 2: 0.3257355644337593, 3: 0.09009034066430983, 4: 0.9031470302612551}",1.1957510635256767,"{0: 0.740839634090662, 1: 0.6707203723490238, 2: 0.3910293150693178, 3: 0.17866160720586777, 4: 0.9494269900023937}"
2,1.1550323136391178,"{0: 0.7537246413769261, 1: 0.6908944066493742, 2: 0.5695584483685032, 3: 0.29375331944996314, 4: 0.9644082563538705}",1.114187479019165,"{0: 0.7634018547832966, 1: 0.6737092398107052, 2: 0.729638110846281, 3: 0.40943439677357674, 4: 0.9718139097094536}"
3,1.081046329390618,"{0: 0.799705889917189, 1: 0.7283252689146227, 2: 0.8685541114499492, 3: 0.49070779738887665, 4: 0.9787459536906211}",1.0541785508394241,"{0: 0.8189796358346939, 1: 0.7817253209650517, 2: 0.8912083692848682, 3: 0.5614831000566483, 4: 0.9835239201784134}"
4,1.0258068884572675,"{0: 0.8215311313829115, 1: 0.7857214827691356, 2: 0.9065127113173085, 3: 0.6019650120888987, 4: 0.9840559074955602}",1.008558813482523,"{0: 0.8064438700675964, 1: 0.8070536740124226, 2: 0.9024544134736061, 3: 0.6162996590137482, 4: 0.983944084495306}"
5,0.9893603603686055,"{0: 0.8732829603456682, 1: 0.823133215788872, 2: 0.9131348719519954, 3: 0.6631262167807548, 4: 0.9886709317084281}",0.9785271361470222,"{0: 0.9166722036898136, 1: 0.8385726511478424, 2: 0.9107999876141548, 3: 0.687090553343296, 4: 0.991663433611393}"
6,0.9674388564402058,"{0: 0.9191216836052556, 1: 0.8469854227958187, 2: 0.9193322783516299, 3: 0.6943469172523867, 4: 0.9919062641359144}",0.9617771506309509,"{0: 0.9255823083221912, 1: 0.836111556738615, 2: 0.9095751568675041, 3: 0.6774026453495026, 4: 0.9918103218078613}"
7,0.9546088210998043,"{0: 0.9218854183150876, 1: 0.8617816355920607, 2: 0.9220365208964194, 3: 0.7096461817141502, 4: 0.9925041794776917}",0.9533391147851944,"{0: 0.9117322117090225, 1: 0.8202296234667301, 2: 0.9145684093236923, 3: 0.6653500758111477, 4: 0.9905111864209175}"
8,0.9458674807702342,"{0: 0.9267216815102485, 1: 0.8729750754371766, 2: 0.925309338877278, 3: 0.7186739060186571, 4: 0.9930735913015181}",0.9562905803322792,"{0: 0.7493638917803764, 1: 0.8856432102620602, 2: 0.9154642447829247, 3: 0.7089915759861469, 4: 0.9828917160630226}"
9,0.9397612896657759,"{0: 0.9313496082059799, 1: 0.882677028256078, 2: 0.9286831175127337, 3: 0.7303100958947213, 4: 0.9935744279815305}",0.9447673968970776,"{0: 0.8246298395097256, 1: 0.8835738264024258, 2: 0.9169786162674427, 3: 0.7170069739222527, 4: 0.9878002777695656}"
